pair,gene_p,gene_q,split_category,method,metric,value,seed
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.6219266438618447,3
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.6047639566957592,3
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.6158492601804729,3
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",mean,top_DE_Pearson,0.5884988560522276,3
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.635615099016923,4
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",additive,top_DE_Pearson,0.5092654362557077,4
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",linear,top_DE_Pearson,0.5211736363051273,4
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.6369587653545297,4
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.6477383375632535,4
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.5831631525407075,4
CEBPA+FOXA1,CEBPA,FOXA1,"both genes observed, pair held out",mean,top_DE_Pearson,0.4095906113822483,4
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.7045952502722065,0
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",additive,top_DE_Pearson,0.5725892560983117,0
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",linear,top_DE_Pearson,0.5300694175626783,0
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.6139296793840031,0
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.5870011485484437,0
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.6031213158037407,0
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",mean,top_DE_Pearson,0.5122857266768913,0
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.6734157329264808,1
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",additive,top_DE_Pearson,0.5807348137843137,1
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",linear,top_DE_Pearson,0.5740547441693334,1
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.617347163921399,1
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.6178772935503124,1
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.50257065080866,1
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",mean,top_DE_Pearson,0.44081972701856187,1
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.6317776407424321,2
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",additive,top_DE_Pearson,0.5016673291053996,2
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",linear,top_DE_Pearson,0.5534914649263989,2
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.6896964786740637,2
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.5280501330584053,2
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.6480967012754888,2
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",mean,top_DE_Pearson,0.3590278137030517,2
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.6399068982008534,3
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",additive,top_DE_Pearson,0.5497651839063004,3
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",linear,top_DE_Pearson,0.6051733398815566,3
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.6426735947875712,3
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.6276008341119955,3
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.5690764956650937,3
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",mean,top_DE_Pearson,0.43225889244012594,3
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.7114785528754292,4
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",additive,top_DE_Pearson,0.5285217405071031,4
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",linear,top_DE_Pearson,0.4934588205997246,4
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.5320027671597911,4
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.5248328628399033,4
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.6198296446432258,4
CDKN1B+SPI1,CDKN1B,SPI1,"both genes observed, pair held out",mean,top_DE_Pearson,0.4685455441642339,4
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.6975354236380401,0
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",additive,top_DE_Pearson,0.5214392076167857,0
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",linear,top_DE_Pearson,0.5974065142534446,0
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.5602844435360009,0
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.5582167692060956,0
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.5670957263601002,0
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",mean,top_DE_Pearson,0.38824962126465756,0
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.6892183488471348,1
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",additive,top_DE_Pearson,0.5118358595878366,1
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",linear,top_DE_Pearson,0.5707496471236612,1
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.6288447995343545,1
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.6067918705617966,1
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.6299231065383671,1
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",mean,top_DE_Pearson,0.45409087092943456,1
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.6346021012773507,2
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",additive,top_DE_Pearson,0.5352169073456161,2
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",linear,top_DE_Pearson,0.46875993396251814,2
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.5131732516546148,2
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.5006380232587359,2
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.5301651903439111,2
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",mean,top_DE_Pearson,0.48398645360340614,2
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.6056712566783963,3
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",additive,top_DE_Pearson,0.5173102467576367,3
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",linear,top_DE_Pearson,0.6479536978671638,3
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.5786241617363144,3
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.6242509341080251,3
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.5339829391994073,3
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",mean,top_DE_Pearson,0.4476737465279422,3
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.602998676705365,4
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",additive,top_DE_Pearson,0.5196580154459662,4
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",linear,top_DE_Pearson,0.6204184882474437,4
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.49636077460845907,4
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",CPA,top_DE_Pearson,0.6060654186127514,4
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.6042641361399367,4
KLF1+SPI1,KLF1,SPI1,"both genes observed, pair held out",mean,top_DE_Pearson,0.4243510026581923,4
FOS+JUN,FOS,JUN,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.6282304374561718,0
FOS+JUN,FOS,JUN,"both genes observed, pair held out",additive,top_DE_Pearson,0.5539605726812823,0
FOS+JUN,FOS,JUN,"both genes observed, pair held out",linear,top_DE_Pearson,0.5713111287314065,0
FOS+JUN,FOS,JUN,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.6961067334792549,0
FOS+JUN,FOS,JUN,"both genes observed, pair held out",CPA,top_DE_Pearson,0.5656386623516185,0
FOS+JUN,FOS,JUN,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.5285901504426881,0
FOS+JUN,FOS,JUN,"both genes observed, pair held out",mean,top_DE_Pearson,0.47075653809737894,0
FOS+JUN,FOS,JUN,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.6731998010383058,1
FOS+JUN,FOS,JUN,"both genes observed, pair held out",additive,top_DE_Pearson,0.6215512545144262,1
FOS+JUN,FOS,JUN,"both genes observed, pair held out",linear,top_DE_Pearson,0.6201066747548747,1
FOS+JUN,FOS,JUN,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.6214122635489705,1
FOS+JUN,FOS,JUN,"both genes observed, pair held out",CPA,top_DE_Pearson,0.6677981734731737,1
FOS+JUN,FOS,JUN,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.5186742167406289,1
FOS+JUN,FOS,JUN,"both genes observed, pair held out",mean,top_DE_Pearson,0.4216149080350151,1
FOS+JUN,FOS,JUN,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.6044054435156684,2
FOS+JUN,FOS,JUN,"both genes observed, pair held out",additive,top_DE_Pearson,0.516611411810654,2
FOS+JUN,FOS,JUN,"both genes observed, pair held out",linear,top_DE_Pearson,0.4873988311466214,2
FOS+JUN,FOS,JUN,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.6381090568088642,2
FOS+JUN,FOS,JUN,"both genes observed, pair held out",CPA,top_DE_Pearson,0.5666666381740736,2
FOS+JUN,FOS,JUN,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.5017516223298405,2
FOS+JUN,FOS,JUN,"both genes observed, pair held out",mean,top_DE_Pearson,0.3990652551275475,2
FOS+JUN,FOS,JUN,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.6788108308470117,3
FOS+JUN,FOS,JUN,"both genes observed, pair held out",additive,top_DE_Pearson,0.5902875940736629,3
FOS+JUN,FOS,JUN,"both genes observed, pair held out",linear,top_DE_Pearson,0.6898038535015072,3
FOS+JUN,FOS,JUN,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.7748317479604397,3
FOS+JUN,FOS,JUN,"both genes observed, pair held out",CPA,top_DE_Pearson,0.6048645659965597,3
FOS+JUN,FOS,JUN,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.5306277127980881,3
FOS+JUN,FOS,JUN,"both genes observed, pair held out",mean,top_DE_Pearson,0.3320772231561214,3
FOS+JUN,FOS,JUN,"both genes observed, pair held out",OpPert,top_DE_Pearson,0.67606268774063,4
FOS+JUN,FOS,JUN,"both genes observed, pair held out",additive,top_DE_Pearson,0.4912235342813805,4
FOS+JUN,FOS,JUN,"both genes observed, pair held out",linear,top_DE_Pearson,0.5450785643892189,4
FOS+JUN,FOS,JUN,"both genes observed, pair held out",GEARS,top_DE_Pearson,0.5632741920564115,4
FOS+JUN,FOS,JUN,"both genes observed, pair held out",CPA,top_DE_Pearson,0.5715525468150169,4
FOS+JUN,FOS,JUN,"both genes observed, pair held out",AttentionPert,top_DE_Pearson,0.6539588138472586,4
FOS+JUN,FOS,JUN,"both genes observed, pair held out",mean,top_DE_Pearson,0.46942291404672065,4
CEBPE+JUN,CEBPE,JUN,neither gene observed,OpPert,top_DE_Pearson,0.43082152545560015,0
CEBPE+JUN,CEBPE,JUN,neither gene observed,additive,top_DE_Pearson,0.3367730469509008,0
CEBPE+JUN,CEBPE,JUN,neither gene observed,linear,top_DE_Pearson,0.47607579481479295,0
CEBPE+JUN,CEBPE,JUN,neither gene observed,GEARS,top_DE_Pearson,0.4078164712883732,0
CEBPE+JUN,CEBPE,JUN,neither gene observed,CPA,top_DE_Pearson,0.43896437066138344,0
CEBPE+JUN,CEBPE,JUN,neither gene observed,AttentionPert,top_DE_Pearson,0.3600422640876509,0
CEBPE+JUN,CEBPE,JUN,neither gene observed,mean,top_DE_Pearson,0.18890337401497853,0
CEBPE+JUN,CEBPE,JUN,neither gene observed,OpPert,top_DE_Pearson,0.4020929942660577,1
CEBPE+JUN,CEBPE,JUN,neither gene observed,additive,top_DE_Pearson,0.29648643612785486,1
CEBPE+JUN,CEBPE,JUN,neither gene observed,linear,top_DE_Pearson,0.49770818394610983,1
CEBPE+JUN,CEBPE,JUN,neither gene observed,GEARS,top_DE_Pearson,0.35071679924653687,1
CEBPE+JUN,CEBPE,JUN,neither gene observed,CPA,top_DE_Pearson,0.4303093522241807,1
CEBPE+JUN,CEBPE,JUN,neither gene observed,AttentionPert,top_DE_Pearson,0.33582436931477844,1
CEBPE+JUN,CEBPE,JUN,neither gene observed,mean,top_DE_Pearson,0.31589438077245463,1
CEBPE+JUN,CEBPE,JUN,neither gene observed,OpPert,top_DE_Pearson,0.48309705796635183,2
CEBPE+JUN,CEBPE,JUN,neither gene observed,additive,top_DE_Pearson,0.3306017261405146,2
CEBPE+JUN,CEBPE,JUN,neither gene observed,linear,top_DE_Pearson,0.36755424843187395,2
CEBPE+JUN,CEBPE,JUN,neither gene observed,GEARS,top_DE_Pearson,0.3607127382742366,2
CEBPE+JUN,CEBPE,JUN,neither gene observed,CPA,top_DE_Pearson,0.4067643320889248,2
CEBPE+JUN,CEBPE,JUN,neither gene observed,AttentionPert,top_DE_Pearson,0.36270099117955323,2
CEBPE+JUN,CEBPE,JUN,neither gene observed,mean,top_DE_Pearson,0.18646365417396513,2
CEBPE+JUN,CEBPE,JUN,neither gene observed,OpPert,top_DE_Pearson,0.3833237455408229,3
CEBPE+JUN,CEBPE,JUN,neither gene observed,additive,top_DE_Pearson,0.3503552750633272,3
CEBPE+JUN,CEBPE,JUN,neither gene observed,linear,top_DE_Pearson,0.46474547538462607,3
CEBPE+JUN,CEBPE,JUN,neither gene observed,GEARS,top_DE_Pearson,0.4095994968144063,3
CEBPE+JUN,CEBPE,JUN,neither gene observed,CPA,top_DE_Pearson,0.37288170043340707,3
CEBPE+JUN,CEBPE,JUN,neither gene observed,AttentionPert,top_DE_Pearson,0.40714956837615257,3
CEBPE+JUN,CEBPE,JUN,neither gene observed,mean,top_DE_Pearson,0.3383601045024095,3
CEBPE+JUN,CEBPE,JUN,neither gene observed,OpPert,top_DE_Pearson,0.4731629500818314,4
CEBPE+JUN,CEBPE,JUN,neither gene observed,additive,top_DE_Pearson,0.3153443661499758,4
CEBPE+JUN,CEBPE,JUN,neither gene observed,linear,top_DE_Pearson,0.4363773226035933,4
CEBPE+JUN,CEBPE,JUN,neither gene observed,GEARS,top_DE_Pearson,0.42572538630769685,4
CEBPE+JUN,CEBPE,JUN,neither gene observed,CPA,top_DE_Pearson,0.47214535951975956,4
CEBPE+JUN,CEBPE,JUN,neither gene observed,AttentionPert,top_DE_Pearson,0.4009940662333144,4
CEBPE+JUN,CEBPE,JUN,neither gene observed,mean,top_DE_Pearson,0.18653185809676998,4
STAT3+FOS,STAT3,FOS,neither gene observed,OpPert,top_DE_Pearson,0.5634199432469978,0
STAT3+FOS,STAT3,FOS,neither gene observed,additive,top_DE_Pearson,0.32922884720304396,0
STAT3+FOS,STAT3,FOS,neither gene observed,linear,top_DE_Pearson,0.3470087607318407,0
STAT3+FOS,STAT3,FOS,neither gene observed,GEARS,top_DE_Pearson,0.48768665753453216,0
STAT3+FOS,STAT3,FOS,neither gene observed,CPA,top_DE_Pearson,0.31357725907739076,0
STAT3+FOS,STAT3,FOS,neither gene observed,AttentionPert,top_DE_Pearson,0.3363163788626504,0
STAT3+FOS,STAT3,FOS,neither gene observed,mean,top_DE_Pearson,0.2985996076813427,0
STAT3+FOS,STAT3,FOS,neither gene observed,OpPert,top_DE_Pearson,0.43632369262842463,1
STAT3+FOS,STAT3,FOS,neither gene observed,additive,top_DE_Pearson,0.33969268799679575,1
STAT3+FOS,STAT3,FOS,neither gene observed,linear,top_DE_Pearson,0.3601934260885292,1
STAT3+FOS,STAT3,FOS,neither gene observed,GEARS,top_DE_Pearson,0.42025447292793605,1
STAT3+FOS,STAT3,FOS,neither gene observed,CPA,top_DE_Pearson,0.464448911678823,1
STAT3+FOS,STAT3,FOS,neither gene observed,AttentionPert,top_DE_Pearson,0.39543509441410474,1
STAT3+FOS,STAT3,FOS,neither gene observed,mean,top_DE_Pearson,0.29863632759661146,1
STAT3+FOS,STAT3,FOS,neither gene observed,OpPert,top_DE_Pearson,0.33698967393813867,2
STAT3+FOS,STAT3,FOS,neither gene observed,additive,top_DE_Pearson,0.33707689588419293,2
STAT3+FOS,STAT3,FOS,neither gene observed,linear,top_DE_Pearson,0.31940618378242774,2
STAT3+FOS,STAT3,FOS,neither gene observed,GEARS,top_DE_Pearson,0.32687121637458233,2
STAT3+FOS,STAT3,FOS,neither gene observed,CPA,top_DE_Pearson,0.32731085798427495,2
STAT3+FOS,STAT3,FOS,neither gene observed,AttentionPert,top_DE_Pearson,0.3699525935579513,2
STAT3+FOS,STAT3,FOS,neither gene observed,mean,top_DE_Pearson,0.3149541525413608,2
STAT3+FOS,STAT3,FOS,neither gene observed,OpPert,top_DE_Pearson,0.3804164369356262,3
STAT3+FOS,STAT3,FOS,neither gene observed,additive,top_DE_Pearson,0.3418378895556651,3
STAT3+FOS,STAT3,FOS,neither gene observed,linear,top_DE_Pearson,0.3409498339999853,3
STAT3+FOS,STAT3,FOS,neither gene observed,GEARS,top_DE_Pearson,0.3803396143382824,3
STAT3+FOS,STAT3,FOS,neither gene observed,CPA,top_DE_Pearson,0.44016546951827623,3
STAT3+FOS,STAT3,FOS,neither gene observed,AttentionPert,top_DE_Pearson,0.42228692622023556,3
STAT3+FOS,STAT3,FOS,neither gene observed,mean,top_DE_Pearson,0.3402438864465646,3
STAT3+FOS,STAT3,FOS,neither gene observed,OpPert,top_DE_Pearson,0.45072965924500596,4
STAT3+FOS,STAT3,FOS,neither gene observed,additive,top_DE_Pearson,0.2982434432997578,4
STAT3+FOS,STAT3,FOS,neither gene observed,linear,top_DE_Pearson,0.35656847098717004,4
STAT3+FOS,STAT3,FOS,neither gene observed,GEARS,top_DE_Pearson,0.4145498074762733,4
STAT3+FOS,STAT3,FOS,neither gene observed,CPA,top_DE_Pearson,0.3905944015072227,4
STAT3+FOS,STAT3,FOS,neither gene observed,AttentionPert,top_DE_Pearson,0.324936715665998,4
STAT3+FOS,STAT3,FOS,neither gene observed,mean,top_DE_Pearson,0.2654293868976725,4
JUN+ELK1,JUN,ELK1,exactly one gene observed,OpPert,top_DE_Pearson,0.5088053989664708,0
JUN+ELK1,JUN,ELK1,exactly one gene observed,additive,top_DE_Pearson,0.42275699830704944,0
JUN+ELK1,JUN,ELK1,exactly one gene observed,linear,top_DE_Pearson,0.3821934798897798,0
JUN+ELK1,JUN,ELK1,exactly one gene observed,GEARS,top_DE_Pearson,0.4645575791621908,0
JUN+ELK1,JUN,ELK1,exactly one gene observed,CPA,top_DE_Pearson,0.4989363002154204,0
JUN+ELK1,JUN,ELK1,exactly one gene observed,AttentionPert,top_DE_Pearson,0.562351217253294,0
JUN+ELK1,JUN,ELK1,exactly one gene observed,mean,top_DE_Pearson,0.3162549697353835,0
JUN+ELK1,JUN,ELK1,exactly one gene observed,OpPert,top_DE_Pearson,0.5207512135959322,1
JUN+ELK1,JUN,ELK1,exactly one gene observed,additive,top_DE_Pearson,0.3111626582156807,1
JUN+ELK1,JUN,ELK1,exactly one gene observed,linear,top_DE_Pearson,0.4602400447673055,1
JUN+ELK1,JUN,ELK1,exactly one gene observed,GEARS,top_DE_Pearson,0.4362551352884262,1
JUN+ELK1,JUN,ELK1,exactly one gene observed,CPA,top_DE_Pearson,0.44823363435803554,1
JUN+ELK1,JUN,ELK1,exactly one gene observed,AttentionPert,top_DE_Pearson,0.4373883533099447,1
JUN+ELK1,JUN,ELK1,exactly one gene observed,mean,top_DE_Pearson,0.35434424674484655,1
JUN+ELK1,JUN,ELK1,exactly one gene observed,OpPert,top_DE_Pearson,0.45453629651860217,2
JUN+ELK1,JUN,ELK1,exactly one gene observed,additive,top_DE_Pearson,0.3519772852765406,2
JUN+ELK1,JUN,ELK1,exactly one gene observed,linear,top_DE_Pearson,0.5977548267216979,2
JUN+ELK1,JUN,ELK1,exactly one gene observed,GEARS,top_DE_Pearson,0.42275464512355815,2
JUN+ELK1,JUN,ELK1,exactly one gene observed,CPA,top_DE_Pearson,0.4141928652927216,2
JUN+ELK1,JUN,ELK1,exactly one gene observed,AttentionPert,top_DE_Pearson,0.6002148116992788,2
JUN+ELK1,JUN,ELK1,exactly one gene observed,mean,top_DE_Pearson,0.5343040301544244,2
JUN+ELK1,JUN,ELK1,exactly one gene observed,OpPert,top_DE_Pearson,0.48970600227047956,3
JUN+ELK1,JUN,ELK1,exactly one gene observed,additive,top_DE_Pearson,0.41790506259271815,3
JUN+ELK1,JUN,ELK1,exactly one gene observed,linear,top_DE_Pearson,0.49049333305643056,3
JUN+ELK1,JUN,ELK1,exactly one gene observed,GEARS,top_DE_Pearson,0.6037218586643356,3
JUN+ELK1,JUN,ELK1,exactly one gene observed,CPA,top_DE_Pearson,0.42078857529430574,3
JUN+ELK1,JUN,ELK1,exactly one gene observed,AttentionPert,top_DE_Pearson,0.4752833292434734,3
JUN+ELK1,JUN,ELK1,exactly one gene observed,mean,top_DE_Pearson,0.4066402545637046,3
JUN+ELK1,JUN,ELK1,exactly one gene observed,OpPert,top_DE_Pearson,0.5860859644679972,4
JUN+ELK1,JUN,ELK1,exactly one gene observed,additive,top_DE_Pearson,0.41743063572619404,4
JUN+ELK1,JUN,ELK1,exactly one gene observed,linear,top_DE_Pearson,0.4619706221290375,4
JUN+ELK1,JUN,ELK1,exactly one gene observed,GEARS,top_DE_Pearson,0.4175062514978011,4
JUN+ELK1,JUN,ELK1,exactly one gene observed,CPA,top_DE_Pearson,0.4657095753615201,4
JUN+ELK1,JUN,ELK1,exactly one gene observed,AttentionPert,top_DE_Pearson,0.4740167505994627,4
JUN+ELK1,JUN,ELK1,exactly one gene observed,mean,top_DE_Pearson,0.3739301933775753,4
FOXA1+MAPK1,FOXA1,MAPK1,exactly one gene observed,OpPert,top_DE_Pearson,0.6207629490691897,0
FOXA1+MAPK1,FOXA1,MAPK1,exactly one gene observed,additive,top_DE_Pearson,0.44932575966010796,0
FOXA1+MAPK1,FOXA1,MAPK1,exactly one gene observed,linear,top_DE_Pearson,0.4911053845039522,0
FOXA1+MAPK1,FOXA1,MAPK1,exactly one gene observed,GEARS,top_DE_Pearson,0.503189320854672,0
FOXA1+MAPK1,FOXA1,MAPK1,exactly one gene observed,CPA,top_DE_Pearson,0.48000506358548484,0
FOXA1+MAPK1,FOXA1,MAPK1,exactly one gene observed,AttentionPert,top_DE_Pearson,0.44670651798742916,0
